concatenated,parisian_keyword
"Pseudo Place of publication unknown Almanach des muses almanac des Muses; almanach des muses NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 244 NA Attribution - periodical, unidentified volumes. Almanach des muses  ",Belles-Lettres
"Pseudo Place of publication unknown Apparat royal, dictionnaire françois et latin, enrichi des meilleures expressions en l'une & l'autre langue, & mis dans un ordre très-facile & très-méthodique Apparat royal; apparral royal NA NA French NA NA n.pl. ? NA NA NA NA 1 NA 8 57 NA Attribution - MS1007 and catalogue information show that STN traded in a (Lyon, 1767) edition, although extant copies of this edition have not been located, and the STN traded in other editions as well. Apparat royal, dictionnaire françois et latin  ",Belles-Lettres
"Pseudo Place of publication unknown Nouvelle (la) Académie des dames, ou histoire de Mlle B*** D. C. D. L. academie des Dames, nouvelles; Nouvelle académie; nouvelle académie des Dames; Nouvelle Académie des Dames ou Histoire de Mlle B*** D. C. D. L. NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 13 NA Attribution - edition not identified, several produced. STN sold work in-12° and in-8° editions.  First published as 'Histoire de Mademoiselle Brion, dite comtesse de Launay'. Nouvelle (la) Académie des dames  ",Belles-Lettres
"Probable French editions Boulevard (le) des Chartreux, poeme chrétien Boulevard des Chartreux NA NA French NA NA Grenoble Grenoble 1779 NA 34 34 1 NA NA 10 NA Attribution - only extant edition located. Boulevard (le) des Chartreux  ",Belles-Lettres
"Certain Dutch editions Contes moraux, par Mde Le Prince de Beaumont Contes de Beaumont; Contes nouveaux de Beaumont NA NA French J.-E. Dufour NA Maestricht Maestricht 1774 NA NA NA 2 NA 12 36 NA Attribution - sourced from Dufour and catalogue information. Contes moraux  ",Belles-Lettres
"Pseudo Place of publication unknown Dictionnaire de l'Académie Françoise Dictionnaire de l'academie NA NA French NA NA n.pl. ? NA NA NA NA 2 NA 4 NA NA Attribution - edition(s) not identified, several produced. STN sourced their copies from Avignon and Nismes, where editions were produced in 1777 and 1778. Fauche-Borel Catalogue (1787) gives (Avignon, 1777). However, it has not always been possible from STN manuscripts to isolate which transactions relate to which editions. Dictionnaire de l'Académie Françoise  ",Belles-Lettres
"Pseudo Place of publication unknown Dictionnaire françois et latin Dictionnaire de Joubert NA NA French NA NA n.pl. ? NA NA NA NA 1 NA NA 70 NA Attribution - edition not identified, several produced. Dictionnaire françois et latin  ",Belles-Lettres
"Certain Other Swiss editions Essais, ou réflexions intéressantes relatives à la chymie, la médecine, l'économie et le commerce Essai de Struve; Essai par Struve; Essay de Struve NA NA French François Grasset NA Lausanne Lausanne 1772 NA 3, 233 236 1 NA 8 15.5 NA Attribution - only extant edition located, sourced from Lausanne. Essais, ou réflexions intéressantes relatives à la chymie, la médecine, l'économie et le commerce  ",Belles-Lettres
"Certain Other Swiss editions Esprit (l') d'Addisson: ou Les beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr. Addisson, avec un précis de sa vie, ouvrage nouvellement trad. de l'anglais par Mr. J.P.A.  Esprit d'Addisson [Selections from:] 'The Spectator'; 'The Tatler'; 'The Guardian' English French Société Littéraire et Typographique de Yverdon NA Yverdon Yverdon 1777 NA 276; 292; 283 851 3 NA 8 54.5 NA Attribution - only extant edition located. Esprit (l') d'Addisson  ",Belles-Lettres
Pseudo Place of publication unknown [Fables (les) d'Esope en grec] Fables d'Europe en grec NA NA Greek NA NA n.pl. ? NA NA NA NA 1 NA NA 10 NA Attribution - edition not identified. Fables (les) d'Esope  ,Belles-Lettres
