Cluster ID,confidence_score,UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date,canonical_UUID,canonical_super_book_code,canonical_primary_author_name,canonical_full_book_title,canonical_stated_publication_years,canonical_illegal_date
277,,NA,spbk0000004,"Boutet de Monvel, Jacques-Marie","Trois (les) Fermiers, comédie en 2 actes en prose et mêlée d'ariettes, représentée pour la première fois par les Comédiens italiens ordinaires du Roi, le 16 mai 1777",1777,NA,,,,,,
278,,NA,spbk0000005,"Dreamer, Oliver","Paix de 1782, ou le Bowl de punch, de Master Oliver Dreamer, traduit de l'anglois, d'après la 5e édition [la]",1782,NA,,,,,,
279,,NA,spbk0000006,NA,"A quoi sert un titre, si l'ouvrage est bon?",1787,NA,,,,,,
280,,NA,spbk0000007,"Voltaire, François Marie Arouet","A.B.C. (l'), dialogue curieux",1769,NA,,,,,,
281,,NA,spbk0000011,"Superville, Daniel [de]","Elemens du christianisme, ou Abrégé des véritez et des devoirs de la religion chrétienne à l'usage des enfans",NA,NA,,,,,,
282,,NA,spbk0000012,"Palairet, Jean","Abrégé sur les sciences et sur les arts, par demandes et par réponses",NA,NA,,,,,,
283,,NA,spbk0000014,"Rist, Jean","Abrégé méthodique des principes d'anatomie et de chirurgie: pour faciliter l'étude de cette science aux élèves, & y entretenir ceux qui la possédent déja",1767,NA,,,,,,
284,,NA,spbk0000015,"La Lande, Jérôme [de]","Abrégé d'astronomie, par M. de La Lande",NA,NA,,,,,,
285,,NA,spbk0000016,"Pfeffel von Kriegelstein, Christian Friedrich","Abrégé chronologique de l'histoire et du droit public d'Allemagne, par M. Pfeffel",NA,NA,,,,,,
286,,NA,spbk0000017,"Racine, Bonaventure","Abrégé de l'histoire ecclésiastique, contenant les événemens considérables de chaque siecle; avec des réflexions",NA,NA,,,,,,
287,,NA,spbk0000021,"Ostervald, Jean-Frédéric",[Abrégé de l'histoire sainte et du catéchisme],NA,NA,,,,,,
288,,NA,spbk0000022,"Diderot, Denis",Abrégé du code de la nature,NA,NA,,,,,,
289,,NA,spbk0000024,"Chavanette, Perrin de","Abrégé portatif de l'histoire universelle sacrée et profane pour l'instruction de la jeunesse, par l'abbé Perrin de Chavanette",1778,NA,,,,,,
290,,NA,spbk0000025,"Du Laurens, Henri-Joseph",Vérité (la). Vertu et vérité. Le cri de Jean-Jacques et le mien ,1786,NA,,,,,,
291,,NA,spbk0000026,"Bellecour, abbé","Académie universelle des jeux: contenant les regles des jeux de cartes permis; celles du billard, du mail, du trictrac, du revertier, &c. &c. avec des instructions faciles pour apprendre à les bien jouer",1786,NA,,,,,,
292,,NA,spbk0000026,"Bellecour, abbé","Académie universelle des jeux, contenant les regles de tous les jeux, avec des instructions faciles pour apprendre à les bien jouer. Nouvelle édition, augmentée du jeu des echecs, par Philidor, & du jeu du whisk, par Edmond Hoyle, traduit de l'anglois",1777,NA,,,,,,
293,,NA,spbk0000028,"Longchamps, Pierre [de]","Soeur (la) Adelaïde, ses égarements, ses vertus, ses foiblesses et son repentir: ouvrage posthume du plus éloquent écrivain de ce siècle",1785,NA,,,,,,
294,,NA,spbk0000029,"Robert, Louise-Félicité Guinement de Keralio, madame","Adelaïde, ou Mémoires de la marquise de M***",1783,NA,,,,,,
295,,NA,spbk0000029,"Robert, Louise-Félicité Guinement de Keralio, madame","Adelaïde, ou Mémoires de la marquise de M*** écrits par elle-même",1782,NA,,,,,,
296,,NA,spbk0000031,"Fonson, Michel J.",Adieux de soeur Rose à son cloître,1784,NA,,,,,,
297,,NA,spbk0000032,"Necker, Jacques",Administration (de l') des finances de la France,1785,NA,,,,,,
298,,NA,spbk0000033,"Pellissery, Roch-Antoine [de]","Administration politique de Colbert: ouvrage qui par son érudition, ses principes économiques, calculs politiques &c. peut servir de repertoire universel des connoissances nécessaires à ses administrateurs",1776,NA,,,,,,
299,,NA,spbk0000034,"Saint-Victor, Guillemain [de]","Adoption, ou la maçonnerie des femmes en trois gradés",100070075,NA,,,,,,
300,,NA,spbk0000035,"Genlis, Stéphanie Félicité [comtesse de]","Adèle et Théodore ou Lettres sur l'éducation, contenant tous les principes relatifs aux trois différens plans d'éducation des princes, des jeunes personnes, & des hommes  ",NA,NA,,,,,,
301,,NA,spbk0000036,"Genlis, Stéphanie Félicité [comtesse de]","Agar dans le desert, comédie",NA,NA,,,,,,
302,,NA,spbk0000038,"Alletz, Pons Augustin","Agronome (l'), ou Dictionnaire portatif du cultivateur",1780,NA,,,,,,
303,,NA,spbk0000039,Albert le Grand,"Admirables (les) Secrets d'Albert le Grand, contenant plusieurs traités sur la conception des femmes et les vertus des herbes, des pierres précieuses, etc.",NA,NA,,,,,,
304,,NA,spbk0000040,"Alletz, Pons Augustin","Albert (l') moderne, ou nouveaux secrets éprouvés et licites, recueillis d'après les découvertes les plus récentes",NA,NA,,,,,,
305,,NA,spbk0000042,NA,Secrets merveilleux de la magie naturelle et cabalistique du petit Albert,NA,NA,,,,,,
306,,NA,spbk0000043,"Abbizzi de Pise, Barthélemy","Alcoran (l') des Cordeliers, tant en latin qu'en français, ou recueil des plus notables bourdes et blasphèmes impudents de ceux qui ont osé comparer S. François à Jésus-Christ, tiré du grand livre des conformités, jadis composé par frère Barthélemy de Pise, Cordelier en son vivant",NA,NA,,,,,,
307,,NA,spbk0000044,"Zannowich, Stephano","Stiepan-Annibale d'Albanie a Fréderic-Guillaume de Prusse. Epître pathétique, philosophique, historique, &c., ou, L'Alcoran des princes destinés au trone",1783,NA,,,,,,
308,,NA,spbk0000045,"Haller, Albrecht [von]","Alfred, Roi des Anglo-Saxons... Traduit de l’Allemand (par C. P.)",1775,NA,,,,,,
309,,NA,spbk0000046,"Guillard de Beaurieu, Gaspard","Allaitement (de l') et de la premiere éducation des enfans, par l'auteur de l'Éleve de la nature",1782,NA,,,,,,
310,,NA,spbk0000047,NA,Almanach de Neuchâtel,NA,NA,,,,,,
311,,NA,spbk0000048,NA,Almanach royal,NA,NA,,,,,,
312,,NA,spbk0000050,NA,Almanach de Cabinet,NA,NA,,,,,,
313,,NA,spbk0000052,"Bérenger, Jean-Pierre",Amans (les) républicains: ou Lettres de Nicias et Cynire.,1783,NA,,,,,,
314,,NA,spbk0000053,Hélaine [abbé],"Amans (les) vertueux, ou Lettres d'une jeune dame écrites de la campagne à son amie de Londres",1774,NA,,,,,,
315,,NA,spbk0000054,"Genlis, Stéphanie Félicité [comtesse de]",Amant (l') anonyme: comédie en cinq actes,NA,NA,,,,,,
316,,NA,spbk0000055,"Arnaud, François-Thomas-Marie de Baculard [d']","Amans (les) malheureux, ou le Comte de Comminge, drame en trois actes et en vers",1774,NA,,,,,,
317,,NA,spbk0000056,"Baudrand, Barthélemi",Ame (l') élevée à Dieu par les réflexions et les sentiments pour chaque jour du mois  ,1777,NA,,,,,,
318,,NA,spbk0000057,"Le Prince de Beaumont, Marie","Américaines (les), ou La Preuve de la religion chrétienne par les lumières naturelles",1770-1771,NA,,,,,,
