full_book_title,stated_publication_places,number_of_volumes,parisian_keyword
"Abrégé de l'Histoire générale des voyages, contenant ce qu'il y a de plus remarquable, de plus utile et de mieux avéré dans les pays où les voyageurs ont pénétré; les moeurs des habitans, la religion, les usages, arts et sciences, commerce, manufactures... Par M. de La Harpe",Paris,23,Histoire
Almanach des muses,n.pl.,1,Belles-Lettres
Art (l') de peindre sur l'émail,n.pl.,1,Science et Arts
"Apparat royal, dictionnaire françois et latin, enrichi des meilleures expressions en l'une & l'autre langue, & mis dans un ordre très-facile & très-méthodique",n.pl.,1,Belles-Lettres
"Nouvelle (la) Académie des dames, ou histoire de Mlle B*** D. C. D. L.",n.pl.,1,Belles-Lettres
"Boulevard (le) des Chartreux, poeme chrétien",Grenoble,1,Belles-Lettres
"Réponse du sieur Bourboulon... au Compte rendu au roi par M. Necker, directeur général des finances",London,1,Science et Arts
[Cathéchisme de Zürich],n.pl.,1,Théologie
[Catéchisme de Roques],n.pl.,1,Théologie
"Contes moraux, par Mde Le Prince de Beaumont",Maestricht,2,Belles-Lettres
"Discours de M. le marquis César Beccaria Bonesana... professeur royal de la chaire nouvellement établie par ordre de S. M. impériale pour le commerce et l'administration publique, prononcé à son installation dans les écoles Palatines",Lausanne,1,Science et Arts
[Discours preliminaire],n.pl.,1,Undetermined
"Dictionnaire géographique, historique et politique de la Suisse: avec une carte géographique",n.pl.,2,Histoire
Dictionnaire de l'Académie Françoise,n.pl.,2,Belles-Lettres
Dictionnaire françois et latin,n.pl.,1,Belles-Lettres
Dictionnaire des hommes illustres,n.pl.,1,Histoire
"Dictionnaire de l'industrie, ou Collection raisonnée des procédés utiles dans les sciences et dans les arts... par une Société de gens de lettres",Paris,3,Science et Arts
"Dictionnaire des origines, ou Époques des inventions utiles, des découvertes importantes, et de l'établissement des peuples, des religions, des sectes",Paris,6,Science et Arts
Description des arts et métiers,n.pl.,1,Science et Arts
[Dictionnaire des Gazettes],n.pl.,1,Science et Arts
"Dictionnaire de chymie; contenant la théorie & la pratique de cette science, son application à la physique, à l'histoire naturelle, à la médecine & à l'économie animale; avec l'explication détaillée de la vertu & de la maniere d'agir des médicamens chymiques; & les principes fondamentaux des arts, manufactures & métiers d'épendans de la chymie",Yverdon,3,Science et Arts
Dictionnaire raisonné universel d'histoire naturelle,Yverdon,12,Science et Arts
"Devoirs (les), statuts ou règlements généraux des F:. M:. mis dans un nouvel ordre et approuvés par la grande loge des Sept Provinces Unies des Pays-Bas",Geneva,1,Histoire
Exposé des motifs qui ont engagé sa majesté le roi de Prusse à s'opposer au démembrement de la Bavière: juillet 1778,Neuchâtel,1,Histoire
Exposé justificatif pour le peuple du canton de Fribourg en Suisse: au sujet des troubles arrivés en 1781,Fribourg,1,Histoire
Flavii Eutropii breviarium historiae Romanae,n.pl.,1,Histoire
Convient-il de supprimer une partie des sermons qui se prononcent à Genève? Examen de cette question,Geneva,1,Histoire
Encyclopédie économique ou Système général: 1 ° d'économie rustique... 2 ° d'économie domestique... 3 ° d'économie politique... Ouvrage extrait des meilleurs livres... par quelques membres de la Société économique de Berne,Yverdon,16,Science et Arts
"Encyclopédie de jurisprudence ou dictionnaire complet... de jurisprudence civile, criminelle, canonique et bénéficiale de toutes les nations de l'Europe, par une société de jurisconsultes",Bruxelles,8,Jurisprudence
"Eglise (de l') du Pape, de quelques points de controverse, et des moyens de réunion entre toutes les Églises Chrétiennes",Geneva,1,Théologie
Estampes [Guillaume Tell],n.pl.,1,Science et Arts
"Eloge de Jean-Baptiste Colbert: discours qui a remporté le prix de l'Académie françoise, en 1773",n.pl.,1,Histoire
Considerations sur les causes de l'ancienne foiblesse de l'Empire de Russie,Lausanne,1,Histoire
"Essais, ou réflexions intéressantes relatives à la chymie, la médecine, l'économie et le commerce",Lausanne,1,Belles-Lettres
Essais historiques et critiques sur les juifs anciens et modernes; ou Supplément aux Moeurs des Israélites de M. l'abbé Fleurs,Lyon,1,Histoire
"Esprit (l') d'Addisson: ou Les beautés du Spectateur, du Babillard et du Gardien, consistant principalement dans une collection des feuilles de Mr. Addisson, avec un précis de sa vie, ouvrage nouvellement trad. de l'anglais par Mr. J.P.A. ",Yverdon,3,Belles-Lettres
[Fables (les) d'Esope en grec],n.pl.,1,Belles-Lettres
"Cours abrégé de géographie historique, ancienne & moderne, et de sphère: par demandes & réponses. Quatrième édition, revue, corrigée et augmentée par l'auteur",Neuchâtel,2,Histoire
Géographie élémentaire. Quatrième édition,Neuchâtel,1,Histoire
"Monsieur Guillaume, ou Le Disputeur",London,1,Belles-Lettres
"Henri IV, drame lyrique en 3 actes et en prose, par M. de Rozoy [Versailles, les Comédiens italiens, 16 décembre 1774.]",Paris,1,Belles-Lettres
"Homme (de l') et de la femme considérés physiquement dans l'état du mariage, par M. de Lignac",n.pl.,1,Science et Arts
Homme (de l') de ses facultés intellectuelles et de son éducation,n.pl.,2,Science et Arts
"Hochets (les) moraux, ou Contes pour la première enfance, par M. Monget",Paris,2,Belles-Lettres
Histoire (l') romaine de Saluste,n.pl.,1,Histoire
"Abrégé de l'histoire poétique, ou Introduction à la mythologie par demandes et par réponses, à l'usage du College de Lausanne. Nouvelle édition revuë, corrigée et augmentée",Lausanne,1,Histoire
"Histoire de Russie: tirée des chroniques originales, des pièces authentiques et des meilleurs historiens de la nation",Yverdon,6,Histoire
"Histoire généalogique de la royale maison de Savoie, justifiée par titres, fondations de monastères... et autres preuves authentiques, par Samuel Guichenon... Nouvelle édition, avec des supplémens jusqu'à nos jours, suivis d'une dissertation contenant des remarques et additions... à cette histoire ",Turin,2,Jurisprudence
"Journal de physique, de chimie, d'histoire naturelle et des arts",n.pl.,1,Belles-Lettres
Jeu (le) des trois sept,n.pl.,1,Science et Arts
"Intolérance (l') ecclésiastique, ou Les malheurs d'un hétérodoxe/La vie et les opinions de maître Sébaltus Nothanker",n.pl.,1,Belles-Lettres
Introduction à la connaissance géographique et politique des Etats de l'Europe,En Suisse,1,Histoire
Londres,Lausanne,3,Histoire
[Palettes simples],n.pl.,1,Undetermined
[Voyage autour du monde de Bougainville],n.pl.,1,Histoire
"Sermons sur différens textes de l'Ecriture-Sainte, par J.E. Bertrand, membre de plusieurs académies, professeur de belles-lettres, et ci-devant ministre du Saint Evangile à Neuchâtel",Neuchâtel,1,Théologie
"Sophonisbe (la), tragédie de Mairet",n.pl.,1,Belles-Lettres
"Journal d'un voyage de Constantinople en Pologne, fait à la suite de Son Excellence Mr Jaq. Porter, ambassadeur d'Angleterre, par le R. P. Joseph Boscowich... en 1762",Lausanne,1,Histoire
Selectae e Veteri Testamento historiae ad usum eorum qui latinae linguae rudimentis imbuuntur ,n.pl.,1,Théologie
Instructions adressées par Sa Majesté l'impératrice de toutes les Russies à la commission établie pour travailler à l'exécution du projet d'un nouveau code de lois,n.pl.,1,Jurisprudence
Maladies des enfants: traduit de l'anglois du docteur Jean Cooke,Yverdon,1,Science et Arts
"Mémoires géographiques physiques et historiques sur l'Asie, l'Afrique et l'Amérique",Yverdon,6,Histoire
Questions de droit naturel et observations sur le traité du droit de la nature de M. le Baron de Wolf,Berne,1,Jurisprudence
"Voyages d'un philosophe, ou Observations sur les moeurs et les arts des peuples de l'Afrique, de l'Asie et de l'Amérique",Yverdon,1,Science et Arts
Satyres (les) de Perse avec des notes,Berne,1,Belles-Lettres
[Grammatica Grecca],n.pl.,1,Belles-Lettres
Joh. Eberhardi Roesleri institutiones iurisprudentiae naturalis in usum collegiorum,Lausanne,1,Jurisprudence
"Fatalisme (le), ou Collection d'anecdotes, pour prouver l'influence du sort sur l'histoire du coeur humain",Yverdon,2,Belles-Lettres
"Traité de l'homme selon les différentes merveilles qui le composent, par le P. André",Yverdon,1,Science et Arts
[Histoire de France (vols 21-22)],n.pl.,1,Histoire
Justinus De historiis Philippicis,n.pl.,1,Histoire
"Intérêts (des) et des devoirs d'un républicain, par un citoyen de Raguse; ouvrage trad. de l'italien par M.B",Yverdon,1,Science et Arts
Etrenne chrétienne ou méditations et prières ... traduit de l'anglois sur la dixième édition,Lausanne,1,Théologie
"Discours de l'empereur Julien, contre les chrétiens, traduit par Mr. le marquis d'Argens ...; Avec de nouvelles notes de divers auteurs",Berlin,1,Histoire
Défense de Louis XIV,n.p.,1,Histoire
[Dictionnaire françois et italien],n.pl.,1,Belles-Lettres
"Ouvrages de feu Mr. Forbes, Lord-Président des Assises d'Edimbourg: contenants: des pensées sur la religion naturelle et révéleé, une lettre a un évêque; des reflexions sur l'incrédulité, traduits de l'anglois, avec des notes, par le R.P. Houbigant, prêtre de l'Oratoire",Lyon,1,Théologie
Histoires choisies des auteurs profanes = Selectae è profanis scriptoribus historiae,n.pl.,1,Belles-Lettres
[Vocabulaire français],n.pl.,2,Belles-Lettres
Sermons sur différens textes de l'Ecriture Sainte [Rochemont],Geneva,1,Théologie
"Poesie del sig. Alberto Haller, tradotte in versi italiani dal sig. A. S.",Yverdon,1,Belles-Lettres
Dictionarium latino gallicum,Lutetiae,1,Belles-Lettres
Corps (des) politiques et de leurs gouvernements. Seconde édition revue & très-augmentée,Lyon,3,Science et Arts
Religion (la) naturelle et la révélée établies sur les principes de la vraie philosophie,n.pl.,1,Théologie
"Moeurs et coutumes des François, ouvrage où on traite de l'origine de la nation, de l'établissement de la monarchie et de son gouvernement politique, civil, militaire et ecclésiastique, par M. Poullin de Lumina",Lyon,2,Histoire
Primatu (De) Romani Pontificis = Primauté (de la) du pape,London,1,Histoire
"Essai analytique sur les facultés de l'âme, par Charles Bonnet",Geneva,2,Science et Arts
Essai sur l'homme,n.pl.,1,Belles-Lettres
Fables orientales de M. de S. Lambert,n.pl.,1,Belles-Lettres
"Histoire et anecdotes de la vie, du règne, du détrônement et de la mort de Pierre III",n.pl.,1,Histoire
Fables et contes de Gellert,n.pl.,1,Belles-Lettres
Recueil des passages du Nouveau Testament qui servent à établir les vérités et les devoirs de la religion chrétienne,Neuchâtel,1,Théologie
"Principes abrégés sur la théorie et la pratique des changes, avec des applications relatives à Genève, et les démonstrations de la règle de trois et de la règle conjointe",Geneva,1,Science et Arts
[Passages de Genève],n.pl.,1,Théologie
"Sermon prêché... sur la tombe de Pierre le Grand, le lendemain du jour que l'on reçut à St-Pétersbourg la nouvelle de la victoire navale remportée sur la flotte turque... par Platon",London,1,Théologie
"Mémoires historiques, militaires et politiques sur les principaux évènemens arrivés dans l'isle & royaume de Corse, depuis le commencement de l'année 1738 jusques à la fin de l'année 1741: avec l'histoire naturelle de ce païs-là, & diverses remarques curieuses touchant l'origine des peuples qui l'habitent: le tout enrichi d'une carte nouvelle de l'Isle de Corse, & dédié à M. le Comte de Maillebois",Lausanne,2,Histoire
Epître à Horace,n.pl.,1,Belles-Lettres
"Trattato sopra la cura delle api, contenente l'istoria naturale di quest'insetti, co'varii metodi si antichi come moderni di governarli e l'istoria naturale delle vespe e de'calabroni, co'mezzi di distruggerli, ornato di rami del signor Tommaso Wildman. Tradotto dall'inglese nella toscana favella da Pier Domenico Soresi",Turin,1,Science et Arts
"Homme (l') au latin, ou la Destinée des savants, histoire sans vraisemblance ",London,1,Belles-Lettres
Fabulae Aesopi & Phaedri selectae,n.pl.,1,Belles-Lettres
"Atrium latinitatis, ou recueil de mots latins à l'usage des écoliers",n.pl.,1,Belles-Lettres
Sermons [de Saurin],n.pl.,12,Théologie
