super_book_title,super_book_code,high_level_keyword,parisian_keyword
Trois (les) Fermiers,spbk0000004,pk015,Belles-Lettres
"Paix de 1782, ou le Bowl de punch",spbk0000005,pk015,Belles-Lettres
"A quoi sert un titre, si l'ouvrage est bon?",spbk0000006,pk015,Belles-Lettres
A.B.C. (l'),spbk0000007,pk015,Belles-Lettres
Elemens du christianisme,spbk0000011,pk106,Théologie
Abrégé sur les sciences et sur les arts,spbk0000012,pk105,Science et Arts
Abrégé méthodique des principes d'anatomie et de chirurgie,spbk0000014,pk105,Science et Arts
Abrégé d'astronomie,spbk0000015,pk105,Science et Arts
Abrégé chronologique de l'histoire et du droit public d'Allemagne,spbk0000016,pk036,Histoire
"Abrégé de l'histoire ecclésiastique, contenant les événemens considérables de chaque siecle",spbk0000017,pk036,Histoire
[Abrégé de l'histoire sainte et du catéchisme],spbk0000021,pk106,Théologie
Abrégé du code de la nature,spbk0000022,pk105,Science et Arts
Abrégé portatif de l'histoire universelle sacrée et profane pour l'instruction de la jeunesse,spbk0000024,pk036,Histoire
Vérité (la). Vertu et vérité,spbk0000025,pk015,Belles-Lettres
Académie universelle des jeux,spbk0000026,pk105,Science et Arts
Soeur (la) Adelaïde,spbk0000028,pk015,Belles-Lettres
"Adelaïde, ou Mémoires de la marquise de M***",spbk0000029,pk015,Belles-Lettres
Adieux de soeur Rose à son cloître,spbk0000031,pk015,Belles-Lettres
Administration (de l') des finances de la France,spbk0000032,pk105,Science et Arts
Administration politique de Colbert,spbk0000033,pk105,Science et Arts
"Adoption, ou la maçonnerie des femmes en trois gradés",spbk0000034,pk036,Histoire
Adèle et Théodore ou Lettres sur l'éducation,spbk0000035,pk015,Belles-Lettres
Agar dans le desert,spbk0000036,pk015,Belles-Lettres
Agronome (l'),spbk0000038,pk105,Science et Arts
Admirables (les) Secrets d'Albert le Grand,spbk0000039,pk105,Science et Arts
Albert (l') moderne,spbk0000040,pk105,Science et Arts
Secrets merveilleux de la magie naturelle et cabalistique du petit Albert,spbk0000042,pk105,Science et Arts
Alcoran (l') des Cordeliers,spbk0000043,NA,NA
Stiepan-Annibale d'Albanie a Fréderic-Guillaume de Prusse,spbk0000044,pk105,Science et Arts
"Alfred, Roi des Anglo-Saxons",spbk0000045,pk015,Belles-Lettres
Allaitement (de l') et de la premiere éducation des enfans,spbk0000046,pk105,Science et Arts
Almanach de Neuchâtel,spbk0000047,pk036,Histoire
Almanach royal,spbk0000048,pk036,Histoire
Almanach de Cabinet,spbk0000050,pk036,Histoire
Amans (les) républicains,spbk0000052,pk015,Belles-Lettres
Amans (les) vertueux,spbk0000053,pk015,Belles-Lettres
Amant (l') anonyme,spbk0000054,pk015,Belles-Lettres
Amans (les) malheureux,spbk0000055,pk015,Belles-Lettres
Ame (l') élevée à Dieu,spbk0000056,pk106,Théologie
Américaines (les),spbk0000057,pk015,Belles-Lettres
Ami de la vertu,spbk0000058,pk015,Belles-Lettres
Ami (l') des vieillards,spbk0000059,pk105,Science et Arts
Ami (l') des lois,spbk0000063,NA,NA
Vie (la) de David Simple,spbk0000066,pk015,Belles-Lettres
Ami de l'adolescence,spbk0000067,pk015,Belles-Lettres
Ami (l') des enfans,spbk0000069,pk015,Belles-Lettres
Amitié (l') après la mort,spbk0000073,pk106,Théologie
Amitié fraternelle,spbk0000074,pk015,Belles-Lettres
Amours (les) et les aventures du Lord Fox,spbk0000075,pk036,Histoire
